,Encounter #,Location,Date,Weapon,Wielder,Attack Type,Target,Acute Effect,Latent Effect,Fight Context,Notes 1,Notes 2,Notes 3,Citation,Text,Continent
76,34,Salamanca,1812.0,Saber,Gen. Sir T. W. Brotherton,Thrust,Torso,Ineffective,Ineffective,Horse,Latent mortality,,,BSF 496,"As my antagonist was making the last cut at me, I had the opportunity of making a thrust at his body which staggered him; and he made off. I thought I had but slightly wounded him; but I found, on inquiry the next day, when sent on a flag of truce, that the thrust had proved mortal, having entered the pit of his stomach.",Europe
77,35,Salamanca,1812.0,Saber,Gen. Sir T. W. Brotherton,Cut,Head,Ineffective,Ineffective,Horse,Sword break,,,BSF 497,"I must mention that I received my wound in the act of uplifting my arm and making a cut at the head of my antagonist, on his near side. He wore a brass helmet; and the blade of my sabre broke in two on it, which left me quite at his mercy.",Europe
78,35,Salamanca,1812.0,Saber,French cavalry,Thrust,Torso,Incapacitation,Incapacitation,Horse,Not mortal,,,BSF 497,"In leading the third squadron to the charge, I was run through the body, from the right side to the navel, about six inches.",Europe
79,35,Salamanca,1812.0,Saber,French cavalry,Thrust,Torso,Incapacitation,Incapacitation,Horse,Not mortal,,,BSF 497,"When the point of the sword came out, and as I staggered and fell, my antagonist, instead of withdrawing his sword from my body altogether, drew it up a little and then made another thrust, which went into the cavity of my chest. I was then led off the field faint and sick, and I well remember one of my best old soldiers offering his assistance.",Europe
80,36,Hasparren,1813.0,Saber,Various,Cut,unspecified,Ineffective,Ineffective,Horse,Not mortal,,,BSF 498,"the blow which rendered it impossible to make further resistance was a sabre cut, aimed at my head, which fell on the peak of my helmet with such force that it bent it on my nose, which it flattened and nearly broke, and completely stunned me. As I said, this blow disabled me from further resistance, and indeed, no signs of any assistance appearing, rendered it useless to resist any longer.",Europe
81,36,Hasparren,1813.0,Saber,Various,Thrust,unspecified,Ineffective,Ineffective,Horse,Not mortal,,,BSF 498,"I was belaboured with cuts and thrusts from all sides, defending myself as long as I could against such odds. However, after receiving eleven thrusts, three of which only wounded me (as I wore a buffalo-leather cuirass which I had made at Madrid, after having been run through the body at Salamanca)",Europe
82,36,Hasparren,1813.0,Saber,Various,Thrust,unspecified,Ineffective,Ineffective,Horse,Not mortal,,,BSF 498,"I was belaboured with cuts and thrusts from all sides, defending myself as long as I could against such odds. However, after receiving eleven thrusts, three of which only wounded me (as I wore a buffalo-leather cuirass which I had made at Madrid, after having been run through the body at Salamanca)",Europe
83,36,Hasparren,1813.0,Saber,Various,Thrust,unspecified,Ineffective,Ineffective,Horse,Not mortal,,,BSF 498,"I was belaboured with cuts and thrusts from all sides, defending myself as long as I could against such odds. However, after receiving eleven thrusts, three of which only wounded me (as I wore a buffalo-leather cuirass which I had made at Madrid, after having been run through the body at Salamanca)",Europe
84,36,Hasparren,1813.0,Saber,Various,Thrust,unspecified,Ineffective,Ineffective,Horse,Not mortal,,,BSF 498,I was wounded through the neck,Europe
85,36,Hasparren,1813.0,Saber,Various,Thrust,unspecified,Ineffective,Ineffective,Horse,Not mortal,,,BSF 498,"in the right hip (or to speak more plainly, in the bottom),",Europe
86,36,Hasparren,1813.0,Saber,Various,Thrust,unspecified,Ineffective,Ineffective,Horse,Not mortal,,,BSF 498,on the right side,Europe
87,36,Hasparren,1813.0,Saber,Various,Thrust,unspecified,Ineffective,Ineffective,Horse,Not mortal,,,BSF 498,"another stab in the thigh, which would have proved the worst of all had it not been for a bunch of letters which I had that morning received from England, and which I had put into one of the pockets which were then worn with pantaloons. The sword penetrated the letters, and went a quarter of an inch into the thigh, close to what is called, I believe, the femoral artery, which, had it touched, probably it would have proved fatal",Europe
88,37,Ciudad Rodrigo,1812.0,Saber,Faris,Cut,Head,Death,,Foot,Bisection,,,BSF 499,"Faris at length disengaged himself from the grasp which held him, and he was able to use his sabre; he pushed the Frenchman from him; and ere he could recover himself, he laid his head open nearly to the chin; his sword blade—a heavy, soft, ill-made Portuguese one—was doubled up with the force of the blow, and retained some pieces of the skull and clotted hair! It was crimson to the hilt.” (Lt. William Grattan, Adventures of the Connaught Rangers, 1847.)",Europe
89,37,Ciudad Rodrigo,1812.0,Musket ball,Frenchman,Thrust,Leg,Ineffective,Ineffective,Foot,Projectile,,,BSF 499,"The Frenchman fired at and wounded Faris in the thigh, ",Europe
90,37,Ciudad Rodrigo,1812.0,Bayonet,Frenchman,Thrust,Leg,Ineffective,Ineffective,Foot,,,,BSF 499,"and made a desperate push with his bayonet at his body; but Faris parried the thrust, and the bayonet only lodged in his leg",Europe
91,37,Ciudad Rodrigo,1812.0,Open Hand,Various,Strike,Various,Ineffective,Ineffective,Foot,Grappling,,,BSF 499,"he sprang forward, and seizing hold of the Frenchman by the collar, a struggle took place. They were so entangled with each other, their weapons were of no avail",Europe
92,38,Marechal Massena,1810.0,Saber,Lt. Gen. Baron de Marbot,Cut,Head,Incapacitation,Incapacitation,Horse,Cut through mouth,Morale kill,Appendage immobilized,BSF 500,"I replied with a vigorous back-hander; my blade struck his teeth and passed between his jaws, as he was in the act of shouting, slitting his mouth to the ears. He made off promptly, to my lively satisfaction, for he was by far the braver and more energetic of the two.",Europe
93,38,Marechal Massena,1810.0,Saber,Englishman,Cut,Head,Ineffective,Ineffective,Horse,,,,BSF 500,So I flew upon the English officer; we met; he gave me a slash across the face,Europe
94,38,Marechal Massena,1810.0,Saber,English Hussars,Cut,Head,Ineffective,Ineffective,Horse,No injury,,,BSF 500,"Meanwhile, the two hussars were hitting me all over, chiefly on the head. In a few seconds my shako, my wallet, and my pelisse were in strips, though I was not myself wounded by any of their blows.",Europe
95,38,Marechal Massena,1810.0,Saber,English Hussars,Cut,Head,Ineffective,Ineffective,Horse,No injury,,,BSF 500,"Meanwhile, the two hussars were hitting me all over, chiefly on the head. In a few seconds my shako, my wallet, and my pelisse were in strips, though I was not myself wounded by any of their blows.",Europe
96,38,Marechal Massena,1810.0,Saber,Lt. Gen. Baron de Marbot,Thrust,Head,Incapacitation,Incapacitation,Horse,Neck thrust,,,BSF 500,"I ran my sword into his throat. His blood spurted over me; and the wretch fell from his horse to the ground, which he bit in his rage",Europe
97,38,Marechal Massena,1810.0,Saber,English Hussars,Cut,Torso,Ineffective,Ineffective,Horse,No injury,,,BSF 500,"Meanwhile, the two hussars were hitting me all over, chiefly on the head. In a few seconds my shako, my wallet, and my pelisse were in strips, though I was not myself wounded by any of their blows.",Europe
98,38,Marechal Massena,1810.0,Saber,English Hussars,Cut,Torso,Ineffective,Ineffective,Horse,No injury,,,BSF 500,"Meanwhile, the two hussars were hitting me all over, chiefly on the head. In a few seconds my shako, my wallet, and my pelisse were in strips, though I was not myself wounded by any of their blows.",Europe
99,38,Marechal Massena,1810.0,Saber,English Hussars,Cut,Torso,Ineffective,Ineffective,Horse,No injury,,,BSF 500,"Meanwhile, the two hussars were hitting me all over, chiefly on the head. In a few seconds my shako, my wallet, and my pelisse were in strips, though I was not myself wounded by any of their blows.",Europe
100,38,Marechal Massena,1810.0,Saber,English Hussars,Cut,Torso,Ineffective,Ineffective,Horse,No injury,,,BSF 500,"Meanwhile, the two hussars were hitting me all over, chiefly on the head. In a few seconds my shako, my wallet, and my pelisse were in strips, though I was not myself wounded by any of their blows.",Europe
101,38,Marechal Massena,1810.0,Saber,Lt. Gen. Baron de Marbot,Thrust,Torso,Incapacitation,Incapacitation,Horse,,,Appendage immobilized,BSF 500,"When the younger man found himself left alone with me, he hesitated for a moment; because, as our horses’ heads were touching, he saw that to turn his back to me was to expose himself to be hit. However, on seeing several soldiers coming to my aid, he made up his mind; but he did not escape the dreaded wound; for in my anger, I pursued him for some paces and gave him a thrust in the shoulder, which quickened his speed. During this fight, which lasted less time than it has taken to tell it, our scouts had come up quickly to set me free; and I was badly in want of their help; for I was losing so much blood from the wound in my side that I was growing faint, and I could not have stayed on my horse if they had not held me up",Europe
102,38,Marechal Massena,1810.0,Saber,Grizzled old hussar,Thrust,Torso,Ineffective,Ineffective,Horse,Hemorrhage,,,BSF 500,"At length, however, the elder of the two hussars, a grizzled old soldier, let me have more than an inch of his point in my right side",Europe
103,39,Benavente,1810.0,Saber,Lt. Col. Kerrison,Cut,Head,Death,,Horse,,,,BSF 501,"he gave his antagonist so severe a blow with his sabre, across the forehead, as to bring them both from their horses: the Frenchman from the violence of the stroke, and Colonel Kerrison from the violence of the action. The men, in the meantime, had been warmly engaged in a slashing conflict, hand to hand; but the French now fled, leaving three dead on the field, and five prisoners, behind them. The Colonel’s men now came to his assistance, when, on raising him up, they found his arm had been broken by a blow given by his adversary with the hilt of his sword; but the French officer lay dead beside him.” (Operations of the British Army in Spain, By an Officer of the Staff, 1809.)",Europe
104,40,Another Action,1810.0,Saber,Corporal Marshall,Cut,Head,Death,,Horse,Group combat,,,BSF 502,"At last he clove one enemy to the teeth,",unknown
105,40,Another Action,1810.0,Saber,Corporal Marshall,Cut,Head,Incapacitation,Incapacitation,Horse,Group combat,Morale kill,,BSF 502,"with a back-stroke, took another across the face and sent him from his saddle.",unknown
106,41,Orthes,1814.0,Saber,Lt. Doherty,Cut,Head,Death,,Horse,,,,BSF 503,"Lieutenant Doherty returned the thrust by a sabre cut which caught the Frenchman between the bottom of his shako and his collar, instantly killing him.",Europe
107,42,Waterloo,1815.0,Saber,German Cadet,Cut,Head,Incapacitation,Incapacitation,Horse,,,,BSF 503,"he wheeled round and engaged the cadet in single combat, who managed to strike him again on his face, so that he fell over on one side",Europe
108,42,Waterloo,1815.0,Saber,German Cadet,Cut,Head,Incapacitation,Incapacitation,Horse,,,,BSF 503,"and was pierced under the arm [a vulnerable place] and killed.” (Rev. William Leeke, History of Lord Seaton’s Regiment, 1866.)",Europe
109,42,Waterloo,1815.0,Saber,German Cadet,Cut,Head,Ineffective,Ineffective,Horse,,,,BSF 503,"The German cadet was watching his opportunity, and on finding himself near his friends, suddenly pulled his horse up upon his haunches and dealt the cuirassier a blow across his face",Europe
